Denumirea comerciala,DCI,Forma,Conc,Firma / Tara detinatoare,Ambalaj,Pres.,ATC,Doza_Adult,Doza_Copil,Simptome_combatute
ADDITIVA VITAMIN C,ACIDUM ASCORBICUM,COMPR. EFF.,1000mg,"DR.B.SCHEFELER GMBH & CO
KG - GERMANIA","Cutie x 1 flac. din PP x 20 compr.
efervescente - 3 ani",OTC,A11GA01,500 mg to 1000 mg daily,25 mg to 75 mg daily,Dietary supplement.scurvy prevention.immune support
ADDITIVA VITAMIN C,ACIDUM ASCORBICUM,COMPR. EFF.,1000mg,"DR.B.SCHEFELER GMBH & CO
KG - GERMANIA","Cutie x 3 flac. din PP x 10 compr.
efervescente - 3 ani",OTC,A11GA01,500 mg to 1000 mg daily,25 mg to 75 mg daily,Dietary supplement.scurvy prevention.immune support
ADVIL,IBUPROFENUM,DRAJ.,200mg,PFIZER CORPORATION AUSTRIA GMBH - AUSTRIA,"Cutie x 1 blist.  Al/PVC x 10 draj. - 3
ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADVIL,IBUPROFENUM,DRAJ.,200mg,PFIZER CORPORATION AUSTRIA GMBH - AUSTRIA,"Cutie x 2 blist.  Al/PVC x 10 draj. - 3
ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADVIL,IBUPROFENUM,DRAJ.,200mg,PFIZER CORPORATION AUSTRIA GMBH - AUSTRIA,"Cutie x 3 blist. Al/PVC x 10 draj. - 3
ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADVIL,IBUPROFENUM,DRAJ.,200mg,PFIZER CORPORATION AUSTRIA GMBH - AUSTRIA,"Cutie x 5 blist. Al/PVC x 10 draj. - 3
ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADVIL,IBUPROFENUM,DRAJ.,200mg,PFIZER CORPORATION AUSTRIA GMBH - AUSTRIA,"Cutie x 10 blist. Al/PVC x 10 draj. - 3
ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADVIL ULTRA,IBUPROFENUM,CAPS. MOI,200mg,PFIZER CORPORATION AUSTRIA GMBH - AUSTRIA,"Cutie x 1 blist. PVDC-PE-PVC/Al x 2
caps. moi - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADVIL ULTRA,IBUPROFENUM,CAPS. MOI,200mg,PFIZER CORPORATION AUSTRIA GMBH - AUSTRIA,"Cutie x 1 blist. PVDC-PE-PVC/Al x 10
caps. moi - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADVIL ULTRA,IBUPROFENUM,CAPS. MOI,200mg,PFIZER CORPORATION AUSTRIA GMBH - AUSTRIA,"Cutie x 1 blist. PVDC-PVC/Al-hartie x
2 caps. moi - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
ADVIL ULTRA,IBUPROFENUM,CAPS. MOI,200mg,PFIZER CORPORATION AUSTRIA GMBH - AUSTRIA,"Cutie x 1 blist. PVDC-PVC/Al-hartie x
10 caps. moi - 3 ani",OTC,M01AE01,200-400 mg every 4-6 hours.max 2400 mg/day,10 mg/kg every 6-8 hours,Pain.fever.inflammation
AFRIN 0.5 mg/ml,OXYMETAZOLINUM,SPRAY NAZ..SOL.,0.5mg/ml,"MERCK SHARP & DOHME
ROMANIA S.R.L. - ROMANIA","Cutie cu 1 flac. PEID inchis cu un
pulverizator din PP x 15 ml spray naz..",OTC,R01AA05,2-3 sprays in each nostril twice daily,Not recommended for children under 6,Nasal congestion
AFRIN 0.5 mg/ml,OXYMETAZOLINUM,SPRAY NAZ..SOL.,0.5mg/ml,"MERCK SHARP & DOHME
ROMANIA S.R.L. - ROMANIA","sol. - 2 ani-dupa ambalarea pt. comercializare;dupa prima deschidere
a flac.-30 zile",,,2-3 sprays in each nostril twice daily,Not recommended for children under 6,Nasal congestion
AFRIN LEMON 0.5 mg/ml,OXYMETAZOLINUM,SPRAY NAZ..SOL.,0.5mg/ml,MERCK SHARP & DOHME ROMANIA S.R.L. - ROMANIA,"Cutie cu 1 flac. PEID inchis cu un pulverizator din PP x 15 ml spray naz.. sol. - 2 ani-dupa ambalarea pt. comercializare;dupa prima deschidere
a flac.-30 zile",OTC,R01AA05,2-3 sprays in each nostril twice daily,Not recommended for children under 6,Nasal congestion
AFRIN MENTOL 0.5 mg/ml,OXYMETAZOLINUM,SPRAY NAZ..SOL.,0.5mg/ml,MERCK SHARP & DOHME ROMANIA S.R.L. - ROMANIA,"Cutie cu 1 flac. PEID inchis cu un pulverizator din PP x 15 ml spray naz.. sol. - 2 ani-dupa ambalarea pt. comercializare;dupa prima deschidere
a flac.-30 zile",OTC,R01AA05,2-3 sprays in each nostril twice daily,Not recommended for children under 6,Nasal congestion
AFRIN MUSETEL 0.5 mg/ml,OXYMETAZOLINUM,SPRAY NAZ..SOL.,0.5mg/ml,MERCK SHARP & DOHME ROMANIA S.R.L. - ROMANIA,"Cutie cu 1 flac. PEID inchis cu un pulverizator din PP x 15 ml spray naz.. sol. - 2 ani-dupa ambalarea pt. comercializare;dupa prima deschidere
a flac.-30 zile",OTC,R01AA05,2-3 sprays in each nostril twice daily,Not recommended for children under 6,Nasal congestion
ALERID 10 mg,CETIRIZINUM,COMPR. FILM.,10mg,TERAPIA SA - ROMANIA,"Cutie x 1 blist. PVC/Al x 10 compr.
film. - 3 ani",OTC,R06AE07,10 mg once daily,5 mg once daily or as directed,Allergies.hay fever.sneezing.itchy and watery eyes
ALETIYONE 1500 micrograme,LEVONORGESTRELUM,COMPR.,"1500microgram
e","LABORATORIOS LEON FARMA.
S.A. - SPANIA","Cutie cu 1 blist. PVC-PVDC/Al cu un
compr. - 3 ani",OTC,G03AD01,1.5 mg as a single dose for emergency contraception,Same as adult; intended for post-pubertal adolescents,Emergency contraception
ALKA - SELTZER,ACIDUM ACETYLSALICYLICUM,COMPR. EFF.,324mg,BAYER S.R.L. - ROMANIA,"Cutie x 5 plicuri multistratificate din hartie/PE/Al/surlin x 2 compr. eff. - 3
ani",OTC,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ALLI 60mg,ORLISTATUM,CAPS.,60mg,GLAXO GROUP LTD. - MAREA,Cutie x 1 flac. PEID x 42 caps. - 2 ani,OTC,A08AB01,120 mg with each main meal,Not recommended for children,Weight loss.blocks fat absorption
ALLI 60mg,ORLISTATUM,CAPS.,60mg,BRITANIE,,,,120 mg with each main meal,Not recommended for children,Weight loss.blocks fat absorption
ALLI 60mg,ORLISTATUM,CAPS.,60mg,BRITANIE,Cutie x 1 flac. PEID x 60 caps. - 2 ani,OTC,A08AB01,120 mg with each main meal,Not recommended for children,Weight loss.blocks fat absorption
ALLI 60mg,ORLISTATUM,CAPS.,60mg,BRITANIE,Cutie x 1 flac. PEID x 84 caps. - 2 ani,OTC,A08AB01,120 mg with each main meal,Not recommended for children,Weight loss.blocks fat absorption
ALLI 60mg,ORLISTATUM,CAPS.,60mg,BRITANIE,Cutie x 1 flac. PEID x 90 caps. - 2 ani,OTC,A08AB01,120 mg with each main meal,Not recommended for children,Weight loss.blocks fat absorption
ALMIDONA 750 micrograme,LEVONORGESTRELUM,COMPR.,750micrograme,"ACTAVIS GROUP PTC EHF. -
ISLANDA","Cutie cu blist. PVC-PVDC/Al x 2
compr. - 3 ani",OTC,G03AD01,1.5 mg as a single dose for emergency contraception,Same as adult; intended for post-pubertal adolescents,Emergency contraception
ALOPEXY 2%,MINOXIDILUM,SOL. CUT.,2%,"PIERRE FABRE DERMATOLOGIE
- FRANTA","Cutie x 1 flac. sticla bruna x 15ml sol.
cut.  cu 1 pipeta PS/PE - 3 ani",OTC,D11AX01,Topical solution 5% applied twice daily,Not recommended for children,Hair loss treatment
ALOPEXY 2%,MINOXIDILUM,SOL. CUT.,2%,"PIERRE FABRE DERMATOLOGIE
- FRANTA","Cutie x 1 flac. sticla bruna x 60ml sol.
cut.  cu 1 pipeta PS/PE - 3 ani",OTC,D11AX01,Topical solution 5% applied twice daily,Not recommended for children,Hair loss treatment
ALOPEXY 2%,MINOXIDILUM,SOL. CUT.,2%,"PIERRE FABRE DERMATOLOGIE
- FRANTA","Cutie x 3 flac. sticla bruna x 60ml sol.
cut.  cu 1 pipeta PS/PE - 3 ani",OTC,D11AX01,Topical solution 5% applied twice daily,Not recommended for children,Hair loss treatment
ALUPIRIN 75 mg,ACIDUM ACETYLSALICYLICUM,"COMPR.
GASTROREZISTE NTE",75mg,LABORMED PHARMA SA - ROMANIA,Cutie cu 2 blist. PVC/PVDC/Al x 15 compr. gastrorezistente - 2 ani,OTC,B01AC06,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
AMBROSPRAY,AMBROXOLUM,SPRAY. SOL. ORALA,50mg/g,CYATHUS EXQUIRERE PHARMAFORSCHUNGS GMBH - AUSTRIA,"Cutie x 1 flacon din sticla bruna x 25 ml spray. sol. orala. prevazut cu
pompa pulverizare - 2 ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROSPRAY,AMBROXOLUM,SPRAY. SOL. ORALA,50mg/g,CYATHUS EXQUIRERE PHARMAFORSCHUNGS GMBH - AUSTRIA,"Cutie x 1 flacon din sticla bruna x 13 ml spray. sol. orala. prevazut cu
pompa pulverizare - 2 ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROXOL  RICHTER 30 mg,AMBROXOLUM,COMPR.,30mg,"GEDEON RICHTER ROMANIA S.A.
- ROMANIA","Cutie x 2 blist. din Al/PVC x 10 compr.
- 4 ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROXOL 0.3%,AMBROXOLUM,SOL. ORALA,0.30%,"TIS FARMACEUTIC S.A. -
ROMANIA","Cutie x 1 flacon din PVC x 100 ml sol.
orala + lingurita dozatoare - 1 an",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROXOL 0.75%,AMBROXOLUM,PIC. ORALE-SOL.,0.75%,"TIS FARMACEUTIC S.A. -
ROMANIA","Cutie x 1 flacon din PE cu picurator x
20 ml pic. orale.-sol. - 1 an",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROXOL 30 mg,AMBROXOLUM,COMPR.,30mg,VIM SPECTRUM SRL - ROMANIA,"Cutie x 2 blist. Al/PVC x 10 compr. - 3
ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROXOL 30mg/5ml,AMBROXOLUM,SIROP,30mg/5ml,"GEDEON RICHTER ROMANIA S.A.
- ROMANIA","Cutie x 1 flac. din sticla x 100 ml sirop
+ lingurita dozatoare - 3 ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROXOL AL 15 mg/5 ml,AMBROXOLUM,SIROP,15 mg/5ml,"ALIUD® PHARMA GMBH & CO.KG
- GERMANIA","Cutie x 1 flacon din sticla bruna x 100
ml sirop + masura dozatoare - 4 ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROXOL AL 15 mg/5 ml,AMBROXOLUM,SIROP,15 mg/5ml,"ALIUD® PHARMA GMBH & CO.KG
- GERMANIA",Cutie x 1 flacon din sticla bruna x 250,OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROXOL AL 15 mg/5 ml,AMBROXOLUM,SIROP,15 mg/5ml,"ALIUD® PHARMA GMBH & CO.KG
- GERMANIA",ml sirop + masura dozatoare - 4 ani,,,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROXOL AL 30 mg,AMBROXOLUM,COMPR.,30mg,ALIUD PHARMA GMBH & CO.KG - GERMANIA,"Cutie x 2 blist  PVC/Al x 10 compr. - 4
ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROXOL AL 30 mg,AMBROXOLUM,COMPR.,30mg,ALIUD PHARMA GMBH & CO.KG - GERMANIA,"Cutie x 5 blist. PVC/Al x 10 compr. - 4
ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROXOL AL 30 mg,AMBROXOLUM,COMPR.,30mg,ALIUD PHARMA GMBH & CO.KG - GERMANIA,"Cutie x 10 blist. PVC/Al x 10 compr. -
4 ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROXOL AL 7.5 mg/ml,AMBROXOLUM,PIC. ORALE. SOL.,7.5 mg/ml,"ALIUD® PHARMA GMBH & CO.KG
- GERMANIA","Cutie x 1 flacon din sticla bruna x 50 ml pic. orale. sol. + masura dozatoare
gradata - 3 ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROXOL AL 7.5 mg/ml,AMBROXOLUM,PIC. ORALE. SOL.,7.5 mg/ml,"ALIUD® PHARMA GMBH & CO.KG
- GERMANIA","Cutie x 1 flacon din sticla bruna x100
ml pic. orale. sol. + masura dozatoare gradata - 3 ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROXOL ARENA 30 mg,AMBROXOLUM,COMPR.,30mg,ARENA GROUP SA - ROMANIA,"Cutie x 2 blist. Al/PVC x 10 compr. - 3
ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROXOL BIOFARM 15 mg/5 ml,AMBROXOLUM,SIROP,15mg/ml,BIOFARM S.A. - ROMANIA,"Cutie x 1 flac. din sticla x 100 ml sirop
+ masura dozatoare cu gradatii de la 2.5 la 20 ml - 3 ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROXOL EGIS,AMBROXOLUM,COMPR.,30mg,"EGIS PHARMACEUTICALS PLC -
UNGARIA","Cutie x 2 blist. Al/PVC x 10 compr. - 5
ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROXOL EGIS SIROP,AMBROXOLUM,SIROP,3mg/ml,"EGIS PHARMACEUTICALS PLC -
UNGARIA","Cutie x 1 flac. x 100 ml sirop + masura
dozatoare a 5 ml - 3 ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
"AMBROXOL LAROPHARM 15 mg/5
ml",AMBROXOLUM,SOL. ORALA,15mg/5ml,LAROPHARM S.R.L. - ROMANIA,"Cutie cu 1 flac. din PVC x 100 ml sol.
+ 1 lingurita dublu dozatoare din polistiren de 2.5/5 ml - 2 ani-dupa ambalarea pt. comercializare;dupa prima deschidere-14 zile",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROXOL LAROPHARM 30 mg,AMBROXOLUM,COMPR.,30mg,LAROPHARM S.R.L. - ROMANIA,"Cutie x 2 blist. PVC/Al x 10 compr. - 2
ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
"AMBROXOL ROMPHARM 15
mg/5ml",AMBROXOLUM,SIROP,15mg/5ml,ROMPHARM COMPANY SRL - ROMANIA,"Cutie x 1 flac. din PEID x 100 ml si o lingurita dozatoare a 2.5ml si a 5ml - 3
ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
"AMBROXOL SANDOZ
COMPRIMATE",AMBROXOLUM,COMPR.,30mg,HEXAL AG - GERMANIA,"Cutie x 2 blist. PP/Al x 10 compr. - 5
ani",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
AMBROXOL SANDOZ SIROP,AMBROXOLUM,SIROP,3 mg/ml,HEXAL AG - GERMANIA,"Cutie x 1 flacon x 100 ml + ligurita dozatoare gradata: 1.25 ml. 2.5 ml si 5 ml - 3 ani - dupa ambalarea pt. comercializare; 12 luni dupa prima
deschidere a flac.",OTC,R05CB06,30 mg three times daily,15 mg two to three times daily for children aged 5-12 years,Mucolytic.enhances mucus clearance
ANTISPASMIN 40 mg,DROTAVERINUM,COMPR.,40mg,BIOFARM S.A. - ROMANIA,"Cutie cu 1 blist. PVC/Al x 20 compr. -
2 ani",OTC,A03AD02,40-80 mg up to three times daily,Not recommended for children,Spasms.pain in smooth muscles
ANTISPASMIN 40 mg,DROTAVERINUM,COMPR.,40mg,BIOFARM S.A. - ROMANIA,"Cutie cu 1 blist. PVC-Aclar/Al x 20
compr. - 2 ani",OTC,A03AD02,40-80 mg up to three times daily,Not recommended for children,Spasms.pain in smooth muscles
ASAPRIN 500 mg,ACIDUM ACETYLSALICYLICUM,COMPR.,500mg,AC HELCOR PHARMA SRL - ROMANIA,"Cutie x 2 blist. Al/PVC x 10 compr. - 2
ani",OTC,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ASAPRIN 500 mg,ACIDUM ACETYLSALICYLICUM,COMPR.,500mg,AC HELCOR PHARMA SRL - ROMANIA,"Cutie x 100 blist. Al/PVC x 10 compr. -
2 ani",OTC/S,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ASAPRIN CARDIO 100 mg,ACIDUM ACETYLSALICYLICUM,COMPR. FILM. GASTROREZ.,100mg,AC HELCOR PHARMA SRL - ROMANIA,"Cutie x 2 blist. Al/PVC x 10 compr.
film. gastrorez. - 2 ani",OTC,B01AC06,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ASAPRIN CARDIO 100 mg,ACIDUM ACETYLSALICYLICUM,COMPR. FILM. GASTROREZ.,100mg,AC HELCOR PHARMA SRL - ROMANIA,"Cutie x 100 blist. Al/PVC x 10 compr.
film. gastrorez. - 2 ani",OTC/S,B01AC06,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ASAPRIN T 500 mg,ACIDUM ACETYLSALICYLICUM,COMPR.,500mg,AC HELCOR PHARMA S.R.L. - ROMANIA,"Cutie cu 2 blist. PVC/Al  x 10 compr. -
3 ani",OTC,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ASAPRIN T 500 mg,ACIDUM ACETYLSALICYLICUM,COMPR.,500mg,AC HELCOR PHARMA S.R.L. - ROMANIA,"Cutie cu 100 blist. PVC/Al x 10 compr.
- 3 ani",OTC,N02BA01,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ASPENTER 75 mg,ACIDUM ACETYLSALICYLICUM,COMPR. FILM. GASTROREZ.,75mg,TERAPIA SA - ROMANIA,"Cutie x 5 blist. PA-Al-PVC/Al x 10
compr. film. gastrorez. - 2 ani",OTC,B01AC06,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ASPENTER 75 mg,ACIDUM ACETYLSALICYLICUM,COMPR. FILM. GASTROREZ.,75mg,TERAPIA SA - ROMANIA,"Cutie x 3 blist.PA-Al-PVC/Al x 10
compr. film. gastrorez. - 2 ani",OTC,B01AC06,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ASPERAN 75 mg,ACIDUM ACETYLSALICYLICUM,"COMPR.
GASTROREZ.",75mg,SLAVIA PHARM S.R.L. - ROMANIA,"Cutie cu 3 blist. PVC-PVDC/Al x 10
compr. gastrorez. - 2 ani",OTC,B01AC06,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ASPIFOX 100 mg,ACIDUM ACETYLSALICYLICUM,COMPR. GASTROREZ.,100mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC/Al x 10 compr.
gastrorez. - 2 ani",OTC,B01AC06,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ASPIFOX 100 mg,ACIDUM ACETYLSALICYLICUM,COMPR. GASTROREZ.,100mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC/Al x 20 compr.
gastrorez. - 2 ani",OTC,B01AC06,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ASPIFOX 100 mg,ACIDUM ACETYLSALICYLICUM,COMPR. GASTROREZ.,100mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC/Al x 28 compr.
gastrorez. - 2 ani",OTC,B01AC06,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ASPIFOX 100 mg,ACIDUM ACETYLSALICYLICUM,COMPR. GASTROREZ.,100mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC/Al x 30 compr.
gastrorez. - 2 ani",OTC,B01AC06,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ASPIFOX 100 mg,ACIDUM ACETYLSALICYLICUM,COMPR. GASTROREZ.,100mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC/Al x 50 compr.
gastrorez. - 2 ani",OTC,B01AC06,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ASPIFOX 100 mg,ACIDUM ACETYLSALICYLICUM,COMPR. GASTROREZ.,100mg,ACTAVIS GROUP PTC EHF - ISLANDA,Cutie cu blist. PVC/Al x 56 compr.,OTC,B01AC06,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ASPIFOX 100 mg,ACIDUM ACETYLSALICYLICUM,COMPR. GASTROREZ.,100mg,ACTAVIS GROUP PTC EHF - ISLANDA,gastrorez. - 2 ani,,,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ASPIFOX 100 mg,ACIDUM ACETYLSALICYLICUM,COMPR. GASTROREZ.,100mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC/Al x 60 compr.
gastrorez. - 2 ani",OTC,B01AC06,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ASPIFOX 100 mg,ACIDUM ACETYLSALICYLICUM,COMPR. GASTROREZ.,100mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC/Al x 90 compr.
gastrorez. - 2 ani",OTC,B01AC06,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
ASPIFOX 100 mg,ACIDUM ACETYLSALICYLICUM,COMPR. GASTROREZ.,100mg,ACTAVIS GROUP PTC EHF - ISLANDA,"Cutie cu blist. PVC/Al x 100 compr.
gastrorez. - 2 ani",OTC,B01AC06,300-600 mg every 4-6 hours,Not recommended for regular use due to Reye's syndrome risk,Pain.fever.inflammation.blood thinner for heart attacks and strokes
